trip_id,time,speed,Number_of_trips
NORMAL_43_Katraj To Hinjawadi Phase 3_Up-0810_0,0.196388891,39.09292079363636,125.0
NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-1310_0,0.196944444,38.642966046666665,322.0
NORMAL_350_Dehugaon To Nigdi Via Talwade_Down-0850_0,0.196944445,34.56052193628572,21.0
NORMAL_103_Hinjawadi - Maan Phase 3 To Katraj_Down-0720_0,0.196944445,22.875503827142857,144.0
NORMAL_46_Lohgaon To Swargate Via Dhanori_Down-0905_0,0.196944446,34.21019089818182,35.0
NORMAL_358_Rajgurunagar To Bhosari_Down-0835_0,0.197222223,49.30944594428571,39.0
NORMAL_170_Kondhwa Kh To Pune Station (Ladies Sp)_Down-0900_0,0.197499999,36.267075560625,65.0
NORMAL_204_Bhekrainagar To Chinchwad Gaon_Up-1230_0,0.1975,26.97052152181818,372.0
NORMAL_38_Dhankawadi To Na Ta Wadi_Up-0855_0,0.1975,26.091173181800002,214.0
NORMAL_2_Shivaji Nagar To Katraj (Ladies Sp)_Down-0845_0,0.19777777700000002,34.880174398461534,238.0
NORMAL_43_Hinjawadi Phase 3 To Katraj_Down-0810_0,0.19777777800000002,35.667409945,28.0
NORMAL_13_Shivajinagar To Upper Depot_Down-1440_0,0.198055555,24.706673019444445,217.0
NORMAL_VJR2_Kesnand Phata To Warje Malwadi_Down-0830_0,0.198055556,30.18248874611111,264.0
NORMAL_152_Dhanori To MNP / KamalPark Via Lohagaon_Down-1415_0,0.198333333,34.11619879090909,87.0
NORMAL_140_Upper Depot To Pune Station_Up-1440_0,0.198333333,30.785878174,204.0
NORMAL_145A_D2 Circle To Pune Station_Down-0800_0,0.198333333,28.0951086925,45.0
NORMAL_163_Pune Station To Kharadi Gaon (Dhole Patil College)_Up-0905_0,0.198611111,26.663098178142857,120.0
NORMAL_106_Kothrud Depot To Dhayari Maruti Mandir_Up-0840_0,0.198611112,31.791585385333335,107.0
NORMAL_89_Swargate To Niljyoti_Up-1400_0,0.198611113,25.1487178265,96.0
NORMAL_174_Pune Station To NDA 10 No Gate Bus Stand_Up-0815_0,0.19888888700000001,31.054758697333334,166.0
NORMAL_VJR1_Dhayari Maruti Mandir To Hadapsar Gadital_Down-0855_0,0.19888888799999999,37.378385632,106.0
NORMAL_204_Bhekrainagar To Chinchwad Gaon_Up-0845_0,0.199166668,28.419882083444445,106.0
NORMAL_312_Pune Station To Chinchwadgaon_Up-1320_0,0.199444445,26.423521586666666,322.0
NORMAL_57_Vadgaon Bk To Pune Station_Down-1340_0,0.199722222,24.137897339400002,275.0
NORMAL_144D_Kumbare Park To Pune Station_Up-0845_0,0.199999998,27.16219923857143,219.0
NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-0830_0,0.2,41.92546413857143,86.0
NORMAL_128_Ma Na Pa To Bopkhel_Up-1330_0,0.200277776,38.72092174153846,126.0
NORMAL_372_Hinjawadi Maan Phase 3 To Bhakti Shakti_Down-0850_0,0.200277777,39.542302941875,134.0
